### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_6_0_pre6 vs CMSSW_7_6_0_pre7
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   +0.138248      +0.03%        19.47 ms/ev ->        22.36 ms/ev prunedGenParticlesWithStatusOne
   +0.134709      +0.41%       316.50 ms/ev ->       362.22 ms/ev pixelLessStepSeeds
   +0.134474      +0.02%        17.30 ms/ev ->        19.80 ms/ev displacedStandAloneMuons
   +0.134292      +0.01%         6.89 ms/ev ->         7.88 ms/ev topSingleMuonHLTOfflineDQM
   +0.133603      +0.13%       104.31 ms/ev ->       119.25 ms/ev convTrackCandidates
   +0.133146      +0.25%       191.61 ms/ev ->       218.94 ms/ev tobTecStepTrackCandidates
   +0.129590      +0.01%         7.83 ms/ev ->         8.91 ms/ev standAloneMuons
   +0.125988      +0.05%        43.77 ms/ev ->        49.65 ms/ev photonConvTrajSeedFromSingleLeg
   +0.122478      +0.01%         5.39 ms/ev ->         6.09 ms/ev globalMuons
   +0.117887      +0.88%       780.69 ms/ev ->       878.49 ms/ev hbheprereco
   +0.114903      +0.03%        24.67 ms/ev ->        27.67 ms/ev SiPixelHitEfficiencySource
   +0.112541      +0.01%        13.94 ms/ev ->        15.60 ms/ev TrackSeedMonpixelLessStep
   -0.112498      -0.01%        10.97 ms/ev ->         9.80 ms/ev pfNoJetEI
   +0.111793      +0.14%       135.90 ms/ev ->       151.99 ms/ev conversionTrackCandidates
   +0.110547      +0.01%        10.67 ms/ev ->        11.92 ms/ev refittedStandAloneMuons
   +0.107966      +0.04%        42.78 ms/ev ->        47.66 ms/ev cosmicMuons1Leg
   +0.107689      +0.02%        16.14 ms/ev ->        17.98 ms/ev gedPhotons
   +0.097499      +0.01%        14.10 ms/ev ->        15.55 ms/ev trackVertexArbitrator
   +0.096836      +0.00%         5.23 ms/ev ->         5.77 ms/ev globalSETMuons
