### Short Comparison (top 10 lines) excluding the first events: CMSSW_7_6_0 vs CMSSW_8_0_0_pre1
Couldn't parse time report using CPU and wall-clock format: trying Wall-clock only
  delta/mean delta/orJob     original                   new       module name
   -0.161426      -0.16%       127.66 ms/ev ->       108.59 ms/ev convTrackCandidates
   +0.137399      +0.02%        17.95 ms/ev ->        20.60 ms/ev pixelPairStep
   -0.118489      -0.06%        64.88 ms/ev ->        57.62 ms/ev allConversions
   -0.115697      -0.21%       226.97 ms/ev ->       202.15 ms/ev jetCoreRegionalStepTrackCandidates
   -0.115602      -0.05%        53.09 ms/ev ->        47.29 ms/ev photonConvTrajSeedFromSingleLeg
   -0.113949      -0.39%       429.24 ms/ev ->       382.96 ms/ev pixelLessStepTrackCandidates
   -0.112617      -0.01%         6.92 ms/ev ->         6.18 ms/ev siPixelClusters
   +0.111317      +0.01%        12.13 ms/ev ->        13.56 ms/ev detachedTripletStepClassifier1
   -0.105291      -0.00%         5.52 ms/ev ->         4.97 ms/ev uncleanedOnlyAllConversions
   -0.104532      -0.03%        33.59 ms/ev ->        30.25 ms/ev mixedTripletStepTracks
   +0.103961      +0.01%        10.86 ms/ev ->        12.05 ms/ev detachedTripletStepClassifier2
   +0.102316      +0.01%        13.77 ms/ev ->        15.26 ms/ev candidateVertexArbitrator
   +0.098168      +0.00%         5.13 ms/ev ->         5.65 ms/ev SingleTopSingleMuonHLTOfflineDQM
   -0.095100      -0.13%       173.33 ms/ev ->       157.59 ms/ev conversionTrackCandidates
   +0.095057      +0.02%        19.46 ms/ev ->        21.41 ms/ev candidateVertexArbitratorCvsL
   +0.083680      +0.01%        14.82 ms/ev ->        16.11 ms/ev trackVertexArbitrator
   -0.083067      -0.09%       133.65 ms/ev ->       122.99 ms/ev particleFlowDisplacedVertex
   +0.075957      +0.01%         8.72 ms/ev ->         9.41 ms/ev lowPtTripletStep
   +0.073280      +0.00%         6.44 ms/ev ->         6.92 ms/ev topSingleMuonHLTOfflineDQM
   -0.064966      -0.03%        61.35 ms/ev ->        57.49 ms/ev ecalDrivenElectronSeeds
   -0.063365      -0.01%        12.12 ms/ev ->        11.38 ms/ev refittedStandAloneMuons
   +0.061481      +0.00%         5.40 ms/ev ->         5.74 ms/ev TrackSeedMonlowPtTripletStep
   -0.060995      -0.01%        26.49 ms/ev ->        24.93 ms/ev pfNoPileUpIso
   -0.060780      -0.01%        26.47 ms/ev ->        24.91 ms/ev pfNoPileUp
   +0.060426      +0.00%         5.95 ms/ev ->         6.32 ms/ev TrackSeedMondetachedTripletStep
   -0.060303      -0.02%        32.85 ms/ev ->        30.93 ms/ev pfNoPileUpIsoPFBRECO
   +0.060265      +0.00%         5.56 ms/ev ->         5.90 ms/ev TrackSeedMoninitialStep
   -0.059836      -0.02%        32.86 ms/ev ->        30.95 ms/ev pfNoPileUpEI
   -0.053241      -0.03%        62.37 ms/ev ->        59.14 ms/ev pfTausCombiner
   -0.053227      -0.03%        62.65 ms/ev ->        59.40 ms/ev combinatoricRecoTaus
   -0.051594      -0.15%       353.90 ms/ev ->       336.10 ms/ev AODSIMoutput
   -0.050894      -0.01%        21.06 ms/ev ->        20.02 ms/ev gedPhotonsTmp
   +0.050387      +0.01%        16.00 ms/ev ->        16.83 ms/ev pfImpactParameterTagInfos
   -0.050372      -0.01%        27.76 ms/ev ->        26.39 ms/ev pfNoPileUpJMEEI
   +0.050227      +0.01%        12.27 ms/ev ->        12.90 ms/ev TrackSeedMonpixelPairStep
  ---------- ------------     --------                  ----       ------------
Job total:  11.9677 s/ev ==> 11.6102 s/ev

